id,name
10,Аналитик
12,"Арт-директор, креативный директор"
25,Гейм-дизайнер
34,"Дизайнер, художник"
36,Директор по информационным технологиям (CIO)
73,Менеджер продукта
96,"Программист, разработчик"
104,Руководитель группы разработки
107,Руководитель проектов
112,Сетевой инженер
113,Системный администратор
114,Системный инженер
116,Специалист по информационной безопасности
121,Специалист технической поддержки
124,Тестировщик
125,Технический директор (CTO)
126,Технический писатель
